Codigo;Nome;Email;Telefone
C210987;Aluno 1;aluno.aleatorio1@dominio.com;9555-0001
C476201;Aluno 2;aluno.aleatorio2@dominio.com;9555-0002
C026318;Aluno 3;aluno.aleatorio3@dominio.com;9555-0003
C342650;Aluno 4;aluno.aleatorio4@dominio.com;9555-0004
C479805;Aluno 5;aluno.aleatorio5@dominio.com;9555-0005
C378625;Aluno 6;aluno.aleatorio6@dominio.com;9555-0006
C954367;Aluno 7;aluno.aleatorio7@dominio.com;9555-0007
C480723;Aluno 8;aluno.aleatorio8@dominio.com;9555-0008
C036179;Aluno 9;aluno.aleatorio9@dominio.com;9555-0009
C951437;Aluno 10;aluno.aleatorio10@dominio.com;
C397208;Aluno 11;aluno.aleatorio11@dominio.com;
C180467;Aluno 12;aluno.aleatorio12@dominio.com;9555-0012
C913587;Aluno 13;aluno.aleatorio13@dominio.com;9555-0013
C538260;Aluno 14;aluno.aleatorio14@dominio.com;9555-0014
C154379;Aluno 15;aluno.aleatorio15@dominio.com;9555-0015
C643592;Aluno 16;aluno.aleatorio16@dominio.com;
C409237;Aluno 17;aluno.aleatorio17@dominio.com;9555-0017
C497835;Aluno 18;aluno.aleatorio18@dominio.com;9555-0018
C273465;Aluno 19;aluno.aleatorio19@dominio.com;9555-0019
C824013;Aluno 20;aluno.aleatorio20@dominio.com;9555-0020
C302568;Aluno 21;aluno.aleatorio21@dominio.com;9555-0021
C402819;Aluno 22;aluno.aleatorio22@dominio.com;9555-0022
C481269;Aluno 23;aluno.aleatorio23@dominio.com;9555-0023
C760231;Aluno 24;aluno.aleatorio24@dominio.com;9555-0024
C705624;Aluno 25;aluno.aleatorio25@dominio.com;9555-0025
C290175;Aluno 26;aluno.aleatorio26@dominio.com;9555-0026
C074965;Aluno 27;aluno.aleatorio27@dominio.com;9555-0027
C624807;Aluno 28;aluno.aleatorio28@dominio.com;9555-0028
C079286;Aluno 29;aluno.aleatorio29@dominio.com;9555-0029
C246351;Aluno 30;aluno.aleatorio30@dominio.com;9555-0030
C156790;Aluno 31;aluno.aleatorio31@dominio.com;
C780196;Aluno 32;aluno.aleatorio32@dominio.com;9555-0032
C470352;Aluno 33;aluno.aleatorio33@dominio.com;9555-0033
C230691;Aluno 34;aluno.aleatorio34@dominio.com;
C276583;Aluno 35;aluno.aleatorio35@dominio.com;9555-0035
C872306;Aluno 36;aluno.aleatorio36@dominio.com;9555-0036
C274508;Aluno 37;aluno.aleatorio37@dominio.com;9555-0037
C614587;Aluno 38;aluno.aleatorio38@dominio.com;9555-0038
C438062;Aluno 39;aluno.aleatorio39@dominio.com;
C592608;Aluno 40;aluno.aleatorio40@dominio.com;
C861947;Aluno 41;aluno.aleatorio41@dominio.com;9555-0041
C214790;Aluno 42;aluno.aleatorio42@dominio.com;9555-0042
C805697;Aluno 43;aluno.aleatorio43@dominio.com;
C198532;Aluno 44;aluno.aleatorio44@dominio.com;9555-0044
C180325;Aluno 45;aluno.aleatorio45@dominio.com;9555-0045
C934510;Aluno 46;aluno.aleatorio46@dominio.com;9555-0046
C687291;Aluno 47;aluno.aleatorio47@dominio.com;9555-0047
C271095;Aluno 48;aluno.aleatorio48@dominio.com;
C931840;Aluno 49;aluno.aleatorio49@dominio.com;
C205687;Aluno 50;aluno.aleatorio50@dominio.com;9555-0050
